scenario,seed,function,sampler,grid_size,noise_sigma,weight_decay,lr,depth,width,N,l2,linf
sampler=random,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
sampler=random,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
sampler=random,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,10,471,0.0018682596273720264,0.005760207772254944
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,40,6681,0.0006490488303825259,0.0025601983070373535
sampler=grid,67,smooth,grid,1000,0.0,0.0,0.001,6,120,58441,0.00018370225734543055,0.0010519623756408691
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,10,471,0.001643074327148497,0.004952073097229004
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,40,6681,0.0006791770574636757,0.0025790929794311523
sampler=grid,67,piecewise_kink_poly,grid,1000,0.0,0.0,0.001,6,120,58441,0.00021427517640404403,0.0011529326438903809
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,10,471,0.006732687819749117,0.04197394847869873
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,40,6681,0.0017459134105592966,0.014190077781677246
sampler=grid,67,besov_faber_schauder,grid,1000,0.0,0.0,0.001,6,120,58441,0.0007569156005047262,0.008211851119995117
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,10,471,0.0014024806441739202,0.004440732300281525
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,40,6681,0.0006709455628879368,0.002470076084136963
grid_size=300,67,smooth,random,300,0.0,0.0,0.001,6,120,58441,0.00018281987286172807,0.0010537505149841309
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,10,471,0.0015868499176576734,0.004285097122192383
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,40,6681,0.0006988141103647649,0.0025330781936645508
grid_size=300,67,piecewise_kink_poly,random,300,0.0,0.0,0.001,6,120,58441,0.00021506863413378596,0.0011904239654541016
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,10,471,0.004157370887696743,0.03331911563873291
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,40,6681,0.0009916368871927261,0.007548809051513672
grid_size=300,67,besov_faber_schauder,random,300,0.0,0.0,0.001,6,120,58441,0.0010696622775867581,0.008064508438110352
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
grid_size=1000,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
grid_size=1000,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
grid_size=1000,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,10,471,0.0014018092770129442,0.004565529525279999
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,40,6681,0.0006704420084133744,0.00252455472946167
noise=0,67,smooth,random,1000,0.0,0.0,0.001,6,120,58441,0.00018128062947653234,0.00105208158493042
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,10,471,0.00158548797480762,0.004304051399230957
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,40,6681,0.0006974085117690265,0.002516806125640869
noise=0,67,piecewise_kink_poly,random,1000,0.0,0.0,0.001,6,120,58441,0.00021546109928749502,0.0011904239654541016
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,10,471,0.004274999722838402,0.038512587547302246
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,40,6681,0.0009994839783757925,0.009970545768737793
noise=0,67,besov_faber_schauder,random,1000,0.0,0.0,0.001,6,120,58441,0.00107921427115798,0.010368704795837402
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,10,471,0.001836670795455575,0.0054885149002075195
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,40,6681,0.0012966823996976018,0.003982126712799072
noise=0.01,67,smooth,random,1000,0.01,0.0,0.001,6,120,58441,0.0008923565619625151,0.002399340271949768
