experiment_type,function,depth,width,N,l2,linf
fixed_depth,besov,6,10,471,0.04342944175004959,1.0000483989715576
fixed_depth,besov,6,20,1741,0.06899929791688919,1.0001859664916992
fixed_depth,besov,6,40,6681,0.045247845351696014,1.011128306388855
fixed_depth,besov,6,80,26161,0.04708913341164589,1.2342195510864258
fixed_depth,besov,6,120,58441,0.035982709378004074,1.0031317472457886
fixed_depth,piecewise,6,10,471,0.01443348079919815,0.07147181034088135
fixed_depth,piecewise,6,20,1741,0.007088490296155214,0.03431600332260132
fixed_depth,piecewise,6,40,6681,0.01796598732471466,0.037445068359375
fixed_depth,piecewise,6,80,26161,0.0009749489836394787,0.013782462105154991
fixed_depth,piecewise,6,120,58441,0.0013250998454168439,0.010290056467056274
fixed_depth,smooth,6,10,471,0.0013478731270879507,0.0037314891815185547
fixed_depth,smooth,6,20,1741,0.0004053942102473229,0.0019860267639160156
fixed_depth,smooth,6,40,6681,0.00032887153793126345,0.0012500286102294922
fixed_depth,smooth,6,80,26161,0.00015378014359157532,0.0007852315902709961
fixed_depth,smooth,6,120,58441,0.00011866602289956063,0.0007398128509521484
fixed_width,besov,3,40,1761,0.11696972697973251,1.010040521621704
fixed_width,besov,5,40,5041,0.06438735872507095,1.2030997276306152
fixed_width,besov,8,40,9961,0.06459851562976837,1.577517032623291
fixed_width,besov,12,40,16521,0.06782540678977966,1.6209375858306885
fixed_width,piecewise,3,40,1761,0.05307168886065483,0.252666711807251
fixed_width,piecewise,5,40,5041,0.0114199910312891,0.06859463453292847
fixed_width,piecewise,8,40,9961,0.0021968530490994453,0.014526233077049255
fixed_width,piecewise,12,40,16521,0.0019502077484503388,0.025040991604328156
fixed_width,smooth,3,40,1761,0.0004766230413224548,0.0015069842338562012
fixed_width,smooth,5,40,5041,0.0002237035077996552,0.0008973181247711182
fixed_width,smooth,8,40,9961,0.00018542415637057275,0.0008456707000732422
fixed_width,smooth,12,40,16521,0.00014518738316837698,0.000621795654296875
